uid,e1_value,e2_value,e3_value,r1_prompt,r1_expected_aliases,r1_response,r1_matched_alias,r2_prompt,r2_expected_aliases,r2_response,r2_matched_alias,fact_comp_type,category
328714,The Needle and the Damage Done,Neil Young,Canada,The singer of 'The Needle and the Damage Done' is,Neil Young|Neil Percival Young|Shakey|Godfather of Grunge|Neil Percival Kenneth Robert Ragland Young,Neil Young,Neil Young,Neil Young was born in the country of,Canada|CAN|CA,Canada,Canada,birthcntry of song's singer,song-singer-birthcntry
329589,G.I. Blues,Elvis Presley,United States of America,The singer of 'G.I. Blues' is,Elvis Presley|Elvis|Elvis Aaron Presley|The King of Rock'n'Roll|King of Rock'n'Roll|Elvis Aron Presley|The King of Rock 'n' Roll|King of Rock 'n' Roll|Elvis A. Presley,Elvis Presley,Elvis Presley,Elvis Presley was born in the country of,United States of America|the United States of America|America|U.S.A.|USA|U.S.|US|the US|the USA|US of A|the United States|U. S. A.|U. S.|the States|the U.S.|United States|US of America|the U.S.A.|the US of America|the US of A|the U.S. of A|the U.S. of America|U.S. of America|Merica,United States,United States,birthcntry of song's singer,song-singer-birthcntry
346234,Love Story,Taylor Swift,Scott Swift,The singer of 'Love Story' is,Taylor Swift|Taylor Alison Swift|Nils Sjöberg,Taylor Swift,Taylor Swift,The father of Taylor Swift is named,Scott Swift|Scott Kingsley Swift,Scott Kingsley Swift,Scott Kingsley Swift,father of song's singer,song-singer-father
346239,(You Drive Me) Crazy,Britney Spears,James Parnell Spears,The singer of '(You Drive Me) Crazy' is,Britney Spears|Britney Jean Spears|Britney Bitch|The Princess of Pop|Princess of Pop,Britney Spears,Britney Spears,The father of Britney Spears is named,James Parnell Spears|Jamie Spears,Jamie Spears.,Jamie Spears,father of song's singer,song-singer-father
346241,You Belong with Me,Taylor Swift,Scott Swift,The singer of 'You Belong with Me' is,Taylor Swift|Taylor Alison Swift|Nils Sjöberg,Taylor Swift,Taylor Swift,The father of Taylor Swift is named,Scott Swift|Scott Kingsley Swift,Scott Kingsley Swift,Scott Kingsley Swift,father of song's singer,song-singer-father
346256,I'm a Slave 4 U,Britney Spears,James Parnell Spears,The singer of 'I'm a Slave 4 U' is,Britney Spears|Britney Jean Spears|Britney Bitch|The Princess of Pop|Princess of Pop,Britney Spears,Britney Spears,The father of Britney Spears is named,James Parnell Spears|Jamie Spears,Jamie Spears.,Jamie Spears,father of song's singer,song-singer-father
346257,Wrecking Ball,Miley Cyrus,Billy Ray Cyrus,The singer of 'Wrecking Ball' is,Miley Cyrus|Destiny Hope Cyrus|Miley Ray Cyrus|Ashley O|Smiley Miley|Miley R. Cyrus|Miley Cyrus Love|Hannah Montana,Miley Cyrus,Miley Cyrus,The father of Miley Cyrus is named,Billy Ray Cyrus|William Ray Cyrus,Billy Ray Cyrus.,Billy Ray Cyrus,father of song's singer,song-singer-father
346258,Thinking Out Loud,Ed Sheeran,John Sheeran,The singer of 'Thinking Out Loud' is,Ed Sheeran|Edward Christopher Sheeran|Edward Sheeran,Ed Sheeran,Ed Sheeran,The father of Ed Sheeran is named,John Sheeran,John Sheeran,John Sheeran,father of song's singer,song-singer-father
346263,I Knew You Were Trouble,Taylor Swift,Scott Swift,The singer of 'I Knew You Were Trouble' is,Taylor Swift|Taylor Alison Swift|Nils Sjöberg,Taylor Swift,Taylor Swift,The father of Taylor Swift is named,Scott Swift|Scott Kingsley Swift,Scott Kingsley Swift,Scott Kingsley Swift,father of song's singer,song-singer-father
346264,Party in the U.S.A.,Miley Cyrus,Billy Ray Cyrus,The singer of 'Party in the U.S.A.' is,Miley Cyrus|Destiny Hope Cyrus|Miley Ray Cyrus|Ashley O|Smiley Miley|Miley R. Cyrus|Miley Cyrus Love|Hannah Montana,Miley Cyrus,Miley Cyrus,The father of Miley Cyrus is named,Billy Ray Cyrus|William Ray Cyrus,Billy Ray Cyrus,Billy Ray Cyrus,father of song's singer,song-singer-father
346308,The Story of Us,Taylor Swift,Scott Swift,The singer of 'The Story of Us' is,Taylor Swift|Taylor Alison Swift|Nils Sjöberg,Taylor Swift,Taylor Swift,The father of Taylor Swift is named,Scott Swift|Scott Kingsley Swift,Scott Kingsley Swift,Scott Kingsley Swift,father of song's singer,song-singer-father
346317,Fearless,Taylor Swift,Scott Swift,The singer of 'Fearless' is,Taylor Swift|Taylor Alison Swift|Nils Sjöberg,Taylor Swift,Taylor Swift,The father of Taylor Swift is named,Scott Swift|Scott Kingsley Swift,Scott Kingsley Swift,Scott Kingsley Swift,father of song's singer,song-singer-father
346833,I Know Places,Taylor Swift,Scott Swift,The singer of 'I Know Places' is,Taylor Swift|Taylor Alison Swift|Nils Sjöberg,Taylor Swift,Taylor Swift,The father of Taylor Swift is named,Scott Swift|Scott Kingsley Swift,Scott Kingsley Swift,Scott Kingsley Swift,father of song's singer,song-singer-father
352109,Earth Song,Michael Jackson,Katherine Jackson,The singer of 'Earth Song' is,Michael Jackson|MJ|The King of Pop|Michael Joe Jackson|Michael Joseph Jackson|M.J.|M. J.|King of Pop|King of Music,Michael Jackson,Michael Jackson,The mother of Michael Jackson is named,Katherine Jackson|Kattie B. Screws|Katherine Scruse|Katherine Esther Scruse|Katherine Esther Jackson,Katherine Esther Jackson,Katherine Esther Jackson,mother of song's singer,song-singer-mother
352234,Do the Bartman,Michael Jackson,Katherine Jackson,The singer of 'Do the Bartman' is,Michael Jackson|MJ|The King of Pop|Michael Joe Jackson|Michael Joseph Jackson|M.J.|M. J.|King of Pop|King of Music,Michael Jackson,Michael Jackson,The mother of Michael Jackson is named,Katherine Jackson|Kattie B. Screws|Katherine Scruse|Katherine Esther Scruse|Katherine Esther Jackson,Katherine Esther Jackson,Katherine Esther Jackson,mother of song's singer,song-singer-mother
352242,Maybe I'm Amazed,Paul McCartney,Mary McCartney,The singer of 'Maybe I'm Amazed' is,Paul McCartney|Sir Paul McCartney|Macca|James Paul McCartney,Paul McCartney,Paul McCartney,The mother of Paul McCartney is named,Mary McCartney,Mary McCartney,Mary McCartney,mother of song's singer,song-singer-mother
352469,Bound 2,Kanye West,Donda West,The singer of 'Bound 2' is,Kanye West|Kanye Omari West|Yeezy|Yeezus|Ye|Saint Pablo|Louis Vuitton Don|Ye West|Mr. West|Kanye|LeBron of Rhyme,Kanye West,Kanye West,The mother of Kanye West is named,Donda West|Donda W.|mother of Kanye West|Momager,Donda West.,Donda West,mother of song's singer,song-singer-mother
362717,Barack Obama,Michelle Obama,Chicago,The spouse of Barack Obama is,Michelle Obama|Michelle LaVaughn Obama|Michelle Robinson|Michelle LaVaughn Robinson Obama|First Lady Michelle Obama,Michelle Obama,Michelle Obama,Michelle Obama was born in the city of,"Chicago|Chicago, Illinois|The Windy City|City by the Lake|The Queen of the West|Chi-Town|Chitown|The Second City|City of Chicago|City of Broad Shoulders|Chi-Raq|Chicago, IL",Chicago.,Chicago,birthcity of person's spouse,person-spouse-birthcity
362807,Jessica Biel,Justin Timberlake,Memphis,The spouse of Jessica Biel is,Justin Timberlake|Justin Ran|Justin Randall Timberlake,Justin Timberlake,Justin Timberlake,Justin Timberlake was born in the city of,"Memphis|Memphis, Tennessee|Memphis, TN",Memphis,Memphis,birthcity of person's spouse,person-spouse-birthcity
381781,Barack Obama,Michelle Obama,United States of America,The spouse of Barack Obama is,Michelle Obama|Michelle LaVaughn Obama|Michelle Robinson|Michelle LaVaughn Robinson Obama|First Lady Michelle Obama,Michelle Obama,Michelle Obama,Michelle Obama was born in the country of,United States of America|the United States of America|America|U.S.A.|USA|U.S.|US|the US|the USA|US of A|the United States|U. S. A.|U. S.|the States|the U.S.|United States|US of America|the U.S.A.|the US of America|the US of A|the U.S. of A|the U.S. of America|U.S. of America|Merica,United States,United States,birthcntry of person's spouse,person-spouse-birthcntry
381784,Volodymyr Zelenskyy,Olena Zelenska,Ukraine,The spouse of Volodymyr Zelenskyy is,Olena Zelenska|Olena Kiyashko|Olena Volodymyrivna Zelenska|Olena Kyiashko|Olena Volodymyrivna Kyiashko|Elena Vladimirovna Zelenskaya|Elena Kiyashko|Elena Vladimirovna Kiyashko,Olena Zelenska,Olena Zelenska,Olena Zelenska was born in the country of,Ukraine|UA|UKR|Ukrainia|🇺🇦|Ukr.|Ukraina|the Ukraine|Ukraïna|Urkrain,Ukraine,Ukraine,birthcntry of person's spouse,person-spouse-birthcntry
381787,Jimmy Carter,Rosalynn Carter,United States of America,The spouse of Jimmy Carter is,Rosalynn Carter|Eleanor Rosalynn Smith Carter|Rosalynn Smith|Eleanor Rosalynn Carter|Eleanor Rosalynn Smith|Eleanor Smith|Rosalynn Smith Carter|Eleanor Carter,Rosalynn Carter,Rosalynn Carter,Rosalynn Carter was born in the country of,United States of America|the United States of America|America|U.S.A.|USA|U.S.|US|the US|the USA|US of A|the United States|U. S. A.|U. S.|the States|the U.S.|United States|US of America|the U.S.A.|the US of America|the US of A|the U.S. of A|the U.S. of America|U.S. of America|Merica,United States,United States,birthcntry of person's spouse,person-spouse-birthcntry
381789,Justin Bieber,Hailey Bieber,United States of America,The spouse of Justin Bieber is,Hailey Bieber|Hailey Rhode Bieber|Hailey Rhode Baldwin|Hailey Rhode|Hailey R. Bieber|Hailey R. Baldwin|Hailey Rhode-Bieber|Hailey Rhode-Baldwin|Hailey Rhode Baldwin Bieber|Hailey Baldwin Bieber|Hailey Baldwin,Hailey Baldwin,Hailey Baldwin,Hailey Bieber was born in the country of,United States of America|the United States of America|America|U.S.A.|USA|U.S.|US|the US|the USA|US of A|the United States|U. S. A.|U. S.|the States|the U.S.|United States|US of America|the U.S.A.|the US of America|the US of A|the U.S. of A|the U.S. of America|U.S. of America|Merica,United States,United States,birthcntry of person's spouse,person-spouse-birthcntry
381793,Mark Zuckerberg,Priscilla Chan,United States of America,The spouse of Mark Zuckerberg is,Priscilla Chan,Priscilla Chan,Priscilla Chan,Priscilla Chan was born in the country of,United States of America|the United States of America|America|U.S.A.|USA|U.S.|US|the US|the USA|US of A|the United States|U. S. A.|U. S.|the States|the U.S.|United States|US of America|the U.S.A.|the US of America|the US of A|the U.S. of A|the U.S. of America|U.S. of America|Merica,United States,United States,birthcntry of person's spouse,person-spouse-birthcntry
381799,Will Smith,Jada Pinkett Smith,United States of America,The spouse of Will Smith is,Jada Pinkett Smith|Jada Koren Pinkett Smith|Jada Koren|Jada Pinkett|Jada Pinkett-Smith,Jada Pinkett Smith,Jada Pinkett Smith,Jada Pinkett Smith was born in the country of,United States of America|the United States of America|America|U.S.A.|USA|U.S.|US|the US|the USA|US of A|the United States|U. S. A.|U. S.|the States|the U.S.|United States|US of America|the U.S.A.|the US of America|the US of A|the U.S. of A|the U.S. of America|U.S. of America|Merica,United States,United States,birthcntry of person's spouse,person-spouse-birthcntry
381800,Justin Trudeau,Sophie Grégoire,Canada,The spouse of Justin Trudeau is,Sophie Grégoire|Sophie Gregoire|Sophie Grégoire Trudeau|Sophie Trudeau,Sophie Grégoire,Sophie Grégoire,Sophie Grégoire was born in the country of,Canada|CAN|CA,I don't have information on a person named Sophie Grégoire being born in a specific country. Can you provide more context or details about who Sophie Grégoire is?,CAN,birthcntry of person's spouse,person-spouse-birthcntry
381811,Amitabh Bachchan,Jaya Bachchan,India,The spouse of Amitabh Bachchan is,Jaya Bachchan|Jaya Bhaduri Bachchan,Jaya Bachchan,Jaya Bachchan,Jaya Bachchan was born in the country of,India|Republic of India|Bharat|Bharatvarsh|Hindustan|IN|IND|🇮🇳|Bharata|Hindoostan|Indostan|Bharat Ganarajya,India,India,birthcntry of person's spouse,person-spouse-birthcntry
381860,Edward I of England,Margaret of France,France,The spouse of Edward I of England is,Margaret of France,Margaret of France,Margaret of France,Margaret of France was born in the country of,France|fr|Republic of France|French Republic|FRA|the Hexagon,France,France,birthcntry of person's spouse,person-spouse-birthcntry
381971,Virat Kohli,Anushka Sharma,India,The spouse of Virat Kohli is,Anushka Sharma,Anushka Sharma,Anushka Sharma,Anushka Sharma was born in the country of,India|Republic of India|Bharat|Bharatvarsh|Hindustan|IN|IND|🇮🇳|Bharata|Hindoostan|Indostan|Bharat Ganarajya,India,India,birthcntry of person's spouse,person-spouse-birthcntry
382059,The Miz,Maryse Mizanin,Canada,The spouse of The Miz is,Maryse Mizanin|Maryse (wrestler)|Maryse Ouellet|Maryse Ouellet Mizanin|Maryse,Mary Sefton,Maryse,Maryse Mizanin was born in the country of,Canada|CAN|CA,Canada,Canada,birthcntry of person's spouse,person-spouse-birthcntry
382068,Hailey Bieber,Justin Bieber,Canada,The spouse of Hailey Bieber is,Justin Bieber|Justin Drew Bieber,Justin Bieber,Justin Bieber,Justin Bieber was born in the country of,Canada|CAN|CA,Canada,Canada,birthcntry of person's spouse,person-spouse-birthcntry
400899,Justin Bieber,Hailey Bieber,Stephen Baldwin,The spouse of Justin Bieber is,Hailey Bieber|Hailey Rhode Bieber|Hailey Rhode Baldwin|Hailey Rhode|Hailey R. Bieber|Hailey R. Baldwin|Hailey Rhode-Bieber|Hailey Rhode-Baldwin|Hailey Rhode Baldwin Bieber|Hailey Baldwin Bieber|Hailey Baldwin,Hailey Baldwin,Hailey Baldwin,The father of Hailey Bieber is named,Stephen Baldwin|Stephen Andrew Baldwin,Stephen Baldwin.,Stephen Baldwin,father of person's spouse,person-spouse-father
400933,"Prince Harry, Duke of Sussex","Meghan, Duchess of Sussex",Thomas Markle,"The spouse of Prince Harry, Duke of Sussex is","Meghan, Duchess of Sussex|Rachel Meghan Markle|Meghan Markle|Duchess Meghan|Meghan Sussex|Rachel Markle|Duchess Rachel|Rachel Sussex",Meghan Markle,Meghan Markle,"The father of Meghan, Duchess of Sussex is named",Thomas Markle|Thomas Wayne Markle|Thomas W. Markle|Tom Markle,Thomas Markle.,Thomas Markle,father of person's spouse,person-spouse-father
403450,Aishwarya Rai Bachchan,Abhishek Bachchan,Jaya Bachchan,The spouse of Aishwarya Rai Bachchan is,Abhishek Bachchan|Abhishek A Bachchan|Abhishek Amitabh Bachchan,Abhishek Bachchan,Abhishek Bachchan,The mother of Abhishek Bachchan is named,Jaya Bachchan|Jaya Bhaduri Bachchan,Jaya Bachchan,Jaya Bachchan,mother of person's spouse,person-spouse-mother
403457,"Prince Harry, Duke of Sussex","Meghan, Duchess of Sussex",Doria Ragland,"The spouse of Prince Harry, Duke of Sussex is","Meghan, Duchess of Sussex|Rachel Meghan Markle|Meghan Markle|Duchess Meghan|Meghan Sussex|Rachel Markle|Duchess Rachel|Rachel Sussex",Meghan Markle,Meghan Markle,"The mother of Meghan, Duchess of Sussex is named",Doria Ragland|Doria Loyce Ragland|Doria Markle|Doria Loyce Markle,Doria Ragland.,Doria Ragland,mother of person's spouse,person-spouse-mother
403503,Hailey Bieber,Justin Bieber,Pattie Mallette,The spouse of Hailey Bieber is,Justin Bieber|Justin Drew Bieber,Justin Bieber,Justin Bieber,The mother of Justin Bieber is named,Pattie Mallette|Patricia Mallette,Pattie Mallette,Pattie Mallette,mother of person's spouse,person-spouse-mother
404940,Jack Layton,McGill University,James McGill,Jack Layton's undergrad university is,McGill University|Royal institution of advanced learning|University of McGill College|McGill college|McGill|mcgill.ca,McGill University,McGill University,McGill University was founded by the person named,James McGill,James McGill,James McGill,founder of person's uguniv,person-uguniv-founder
405134,Junuthula  N. Reddy,Osmania University,"Osman Ali Khan, Asaf Jah VII",Junuthula  N. Reddy's undergrad university is,Osmania University,Osmania University,Osmania University,Osmania University was founded by the person named,"Osman Ali Khan, Asaf Jah VII|Osman Ali Pasha|Asaf Jah 7|Nizam sarkar|7th nizam|Nizam VII|Osman Ali Khan|Mir Osman Ali khan|Sir Mir Osman Ali Khan",Osman Ali Khan Mulla,Osman Ali Khan,founder of person's uguniv,person-uguniv-founder
421802,Joe Biden,University of Delaware,Newark,Joe Biden's undergrad university is,University of Delaware|University of Delaware Emergency Care Unit|UD|Delaware College|udel.edu,University of Delaware,University of Delaware,University of Delaware has its headquarters in the city of,"Newark|Newark, Delaware|Newark, DE",Newark.,Newark,hqcity of person's uguniv,person-uguniv-hqcity
421838,Jill Biden,University of Delaware,Newark,Jill Biden's undergrad university is,University of Delaware|University of Delaware Emergency Care Unit|UD|Delaware College|udel.edu,University of Delaware,University of Delaware,University of Delaware has its headquarters in the city of,"Newark|Newark, Delaware|Newark, DE",Newark.,Newark,hqcity of person's uguniv,person-uguniv-hqcity
421839,William Gibson,University of British Columbia,Vancouver,William Gibson's undergrad university is,University of British Columbia|UBC|The University of British Columbia|McGill University College of British Columbia|ubc.ca|UBC Vancouver,University of British Columbia,University of British Columbia,University of British Columbia has its headquarters in the city of,"Vancouver|City of Vancouver|Vancouver, BC|Vancouver, British Columbia",Vancouver.,Vancouver,hqcity of person's uguniv,person-uguniv-hqcity
421840,Marvin Minsky,Harvard University,Cambridge,Marvin Minsky's undergrad university is,Harvard University|Harvard|University of Harvard|Harvard Graduate School|harvard.edu,Harvard University,Harvard University,Harvard University has its headquarters in the city of,"Cambridge|Cambridge, Massachusetts|Cambridge, MA",Cambridge.,Cambridge,hqcity of person's uguniv,person-uguniv-hqcity
421845,Jeb Bush,University of Texas at Austin,Austin,Jeb Bush's undergrad university is,"University of Texas at Austin|UT-Austin|UT Austin|UT|University of Texas, Austin|utexas.edu|University of Texas|UTA|The University of Texas at Austin|TTexas Longhorns swimming and diving",University of Texas at Austin,University of Texas at Austin,University of Texas at Austin has its headquarters in the city of,"Austin|Austin, Texas|Austin, TX",Austin.,Austin,hqcity of person's uguniv,person-uguniv-hqcity
421908,Catherine Cortez Masto,"University of Nevada, Reno",Reno,Catherine Cortez Masto's undergrad university is,"University of Nevada, Reno|University of Nevada|Nevada State University|University of Nevada Reno|University of Nevada - Reno|State University of Nevada|UNR|unr.edu","University of Nevada, Reno","University of Nevada, Reno","University of Nevada, Reno has its headquarters in the city of","Reno|Reno, Nevada|Reno, NV",Reno,Reno,hqcity of person's uguniv,person-uguniv-hqcity
421924,Jack Layton,McGill University,Montreal,Jack Layton's undergrad university is,McGill University|Royal institution of advanced learning|University of McGill College|McGill college|McGill|mcgill.ca,McGill University,McGill University,McGill University has its headquarters in the city of,"Montreal|Montréal|City of Montreal|Ville de Montréal|Ville de Montreal|Montreal, Quebec|Montreal, Canada",Montreal.,Montreal,hqcity of person's uguniv,person-uguniv-hqcity
421980,Denton Cooley,University of Texas at Austin,Austin,Denton Cooley's undergrad university is,"University of Texas at Austin|UT-Austin|UT Austin|UT|University of Texas, Austin|utexas.edu|University of Texas|UTA|The University of Texas at Austin|TTexas Longhorns swimming and diving",University of Texas at Austin,University of Texas at Austin,University of Texas at Austin has its headquarters in the city of,"Austin|Austin, Texas|Austin, TX",Austin.,Austin,hqcity of person's uguniv,person-uguniv-hqcity
422036,Karl Deisseroth,Harvard University,Cambridge,Karl Deisseroth's undergrad university is,Harvard University|Harvard|University of Harvard|Harvard Graduate School|harvard.edu,Harvard University,Harvard University,Harvard University has its headquarters in the city of,"Cambridge|Cambridge, Massachusetts|Cambridge, MA",Cambridge.,Cambridge,hqcity of person's uguniv,person-uguniv-hqcity
422049,Lucy Worsley,University of Oxford,Oxford,Lucy Worsley's undergrad university is,University of Oxford|Oxford University|Oxon.|Oxf|Universitas Oxoniensis|Oxford,University of Oxford,University of Oxford,University of Oxford has its headquarters in the city of,"Oxford|Oxford, England",Oxford.,Oxford,hqcity of person's uguniv,person-uguniv-hqcity
422153,Mary Douglas Tindale,University of Sydney,Sydney,Mary Douglas Tindale's undergrad university is,University of Sydney|Sydney University|USyd|Sydney Uni|The University of Sydney,University of Sydney,University of Sydney,University of Sydney has its headquarters in the city of,"Sydney|Sydney, Australia|Sydney, New South Wales, Australia|Sydney, New South Wales|Sydney, NSW, Australia|Sydney, NSW|Emerald City|Harbour City|Port Jackson|Greater Sydney|Sydney, N.S.W.|Gadi|Eora|Sydney, N. S. W.",Sydney,Sydney,hqcity of person's uguniv,person-uguniv-hqcity
422166,Adora Svitak,"University of California, Berkeley",Berkeley,Adora Svitak's undergrad university is,"University of California, Berkeley|University of California Berkeley|UC Berkeley|Berkeley|Cal|Univ. of California Berkeley|Cal-Berkeley|berkeley.edu|University of California at Berkeley|Berkeley University|UCB","University of California, Berkeley","University of California, Berkeley","University of California, Berkeley has its headquarters in the city of","Berkeley|Berkeley, California|Bkly|Berkeley, CA|BURK",Berkeley,Berkeley,hqcity of person's uguniv,person-uguniv-hqcity
422167,David Nabarro,University of Oxford,Oxford,David Nabarro's undergrad university is,University of Oxford|Oxford University|Oxon.|Oxf|Universitas Oxoniensis|Oxford,University of Oxford,University of Oxford,University of Oxford has its headquarters in the city of,"Oxford|Oxford, England",Oxford.,Oxford,hqcity of person's uguniv,person-uguniv-hqcity
422171,Diane Wakoski,"University of California, Berkeley",Berkeley,Diane Wakoski's undergrad university is,"University of California, Berkeley|University of California Berkeley|UC Berkeley|Berkeley|Cal|Univ. of California Berkeley|Cal-Berkeley|berkeley.edu|University of California at Berkeley|Berkeley University|UCB","University of California, Berkeley","University of California, Berkeley","University of California, Berkeley has its headquarters in the city of","Berkeley|Berkeley, California|Bkly|Berkeley, CA|BURK",Berkeley,Berkeley,hqcity of person's uguniv,person-uguniv-hqcity
422206,Junuthula  N. Reddy,Osmania University,Hyderabad,Junuthula  N. Reddy's undergrad university is,Osmania University,Osmania University,Osmania University,Osmania University has its headquarters in the city of,"Hyderabad|City of Pearls|Hyderabad, India",Hyderabad.,Hyderabad,hqcity of person's uguniv,person-uguniv-hqcity
422232,Kevin Plank,University of Maryland,College Park,Kevin Plank's undergrad university is,"University of Maryland|The University of Maryland|UM|UMD|UMCP|University of Maryland at College Park|University of Maryland, College Park|Maryland State College|umd.edu",University of Maryland,University of Maryland,University of Maryland has its headquarters in the city of,"College Park|College Park, Maryland|College Park, MD",College Park.,College Park,hqcity of person's uguniv,person-uguniv-hqcity
422298,Wab Kinew,University of Manitoba,Winnipeg,Wab Kinew's undergrad university is,University of Manitoba|umanitoba.ca,University of Manitoba,University of Manitoba,University of Manitoba has its headquarters in the city of,"Winnipeg|Winnipeg, Manitoba|City of Winnipeg|Winnipeg, MB",Winnipeg.,Winnipeg,hqcity of person's uguniv,person-uguniv-hqcity
422402,Nikki Fried,University of Florida,Gainesville,Nikki Fried's undergrad university is,University of Florida|UF|University of the State of Florida|Florida University|ufl.edu,University of Florida,University of Florida,University of Florida has its headquarters in the city of,"Gainesville|Gainesville, Florida|Gainesville, FL",Gainesville.,Gainesville,hqcity of person's uguniv,person-uguniv-hqcity
422529,Annie Webb Blanton,University of Texas at Austin,Austin,Annie Webb Blanton's undergrad university is,"University of Texas at Austin|UT-Austin|UT Austin|UT|University of Texas, Austin|utexas.edu|University of Texas|UTA|The University of Texas at Austin|TTexas Longhorns swimming and diving",University of Texas at Austin,University of Texas at Austin,University of Texas at Austin has its headquarters in the city of,"Austin|Austin, Texas|Austin, TX",Austin.,Austin,hqcity of person's uguniv,person-uguniv-hqcity
422549,Winthrop Jordan,Harvard University,Cambridge,Winthrop Jordan's undergrad university is,Harvard University|Harvard|University of Harvard|Harvard Graduate School|harvard.edu,Harvard University,Harvard University,Harvard University has its headquarters in the city of,"Cambridge|Cambridge, Massachusetts|Cambridge, MA",Cambridge.,Cambridge,hqcity of person's uguniv,person-uguniv-hqcity
422755,Charles Allerton Coolidge,Harvard University,Cambridge,Charles Allerton Coolidge's undergrad university is,Harvard University|Harvard|University of Harvard|Harvard Graduate School|harvard.edu,Harvard University,Harvard University,Harvard University has its headquarters in the city of,"Cambridge|Cambridge, Massachusetts|Cambridge, MA",Cambridge.,Cambridge,hqcity of person's uguniv,person-uguniv-hqcity
422764,Stanford Lyman,"University of California, Berkeley",Berkeley,Stanford Lyman's undergrad university is,"University of California, Berkeley|University of California Berkeley|UC Berkeley|Berkeley|Cal|Univ. of California Berkeley|Cal-Berkeley|berkeley.edu|University of California at Berkeley|Berkeley University|UCB","University of California, Berkeley","University of California, Berkeley","University of California, Berkeley has its headquarters in the city of","Berkeley|Berkeley, California|Bkly|Berkeley, CA|BURK",Berkeley,Berkeley,hqcity of person's uguniv,person-uguniv-hqcity
422808,Duane Linklater,University of Alberta,Edmonton,Duane Linklater's undergrad university is,University of Alberta|Ualberta|UofA|ualberta.ca,University of Alberta,University of Alberta,University of Alberta has its headquarters in the city of,"Edmonton|Edmonton, Alberta|Edmonton, AB|City of Edmonton",Edmonton.,Edmonton,hqcity of person's uguniv,person-uguniv-hqcity
422901,George Cyril Bailey,Victoria University of Manchester,Manchester,George Cyril Bailey's undergrad university is,"Victoria University of Manchester|Owens College|Owens College, Manchester|University of Manchester",University of Manchester,University of Manchester,Victoria University of Manchester has its headquarters in the city of,"Manchester|Manchester, England|Manchester, UK|Cottonopolis|Warehouse City|Madchester|Capital of the North|Manchester, Lancashire",Manchester,Manchester,hqcity of person's uguniv,person-uguniv-hqcity
423098,Fergus William Campbell,University of Glasgow,Glasgow,Fergus William Campbell's undergrad university is,University of Glasgow|Glasgow University|Glasgow Uni|gla.ac.uk,University of Glasgow,University of Glasgow,University of Glasgow has its headquarters in the city of,"Glasgow|Glasgow, Scotland|Glasgow, UK",Glasgow.,Glasgow,hqcity of person's uguniv,person-uguniv-hqcity
423405,Gareth Martin Winrow,University of Oxford,Oxford,Gareth Martin Winrow's undergrad university is,University of Oxford|Oxford University|Oxon.|Oxf|Universitas Oxoniensis|Oxford,University of Oxford,University of Oxford,University of Oxford has its headquarters in the city of,"Oxford|Oxford, England",Oxford.,Oxford,hqcity of person's uguniv,person-uguniv-hqcity
423421,Jamie Pleydell-Bouverie,University of Cambridge,Cambridge,Jamie Pleydell-Bouverie's undergrad university is,"University of Cambridge|Cambridge University|Cambridge|Universitas Cantabrigiensis|The Chancellor, Masters, and Scholars of the University of Cambridge|The University of Cambridge",University of Cambridge,University of Cambridge,University of Cambridge has its headquarters in the city of,Cambridge,Cambridge.,Cambridge,hqcity of person's uguniv,person-uguniv-hqcity
423482,Efstathios E. Michaelides,University of Oxford,Oxford,Efstathios E. Michaelides's undergrad university is,University of Oxford|Oxford University|Oxon.|Oxf|Universitas Oxoniensis|Oxford,University of Oxford,University of Oxford,University of Oxford has its headquarters in the city of,"Oxford|Oxford, England",Oxford.,Oxford,hqcity of person's uguniv,person-uguniv-hqcity
443618,Joe Biden,University of Delaware,United States of America,Joe Biden's undergrad university is,University of Delaware|University of Delaware Emergency Care Unit|UD|Delaware College|udel.edu,University of Delaware,University of Delaware,University of Delaware has its headquarters in the country of,United States of America|the United States of America|America|U.S.A.|USA|U.S.|US|the US|the USA|US of A|the United States|U. S. A.|U. S.|the States|the U.S.|United States|US of America|the U.S.A.|the US of America|the US of A|the U.S. of A|the U.S. of America|U.S. of America|Merica,United States.,United States,hqcntry of person's uguniv,person-uguniv-hqcntry
443625,Justin Trudeau,McGill University,Canada,Justin Trudeau's undergrad university is,McGill University|Royal institution of advanced learning|University of McGill College|McGill college|McGill|mcgill.ca,McGill University,McGill University,McGill University has its headquarters in the country of,Canada|CAN|CA,Canada.,Canada,hqcntry of person's uguniv,person-uguniv-hqcntry
443654,Jill Biden,University of Delaware,United States of America,Jill Biden's undergrad university is,University of Delaware|University of Delaware Emergency Care Unit|UD|Delaware College|udel.edu,University of Delaware,University of Delaware,University of Delaware has its headquarters in the country of,United States of America|the United States of America|America|U.S.A.|USA|U.S.|US|the US|the USA|US of A|the United States|U. S. A.|U. S.|the States|the U.S.|United States|US of America|the U.S.A.|the US of America|the US of A|the U.S. of A|the U.S. of America|U.S. of America|Merica,United States.,United States,hqcntry of person's uguniv,person-uguniv-hqcntry
